publishedAt,id,title,companyName,postedTime,applicationsCount,description,contractType,experienceLevel,workType,sector,companyId,city,state,recently_posted_jobs,desc_length,desc_word_count,lag_days,year_month,seniority
2024-01-09,3800928381,Front-End Engineer/Web Developer (Sde 1 &Amp; 2),Box8,,85.0,"Skill: Html5 , Ajax , Oop , Git , Postgresql , Web Developer , Debugging , Data Structures , Mysql , Mvc , Github , Problem Solving , Javascript , Angularjs; Exp: 4-7 Years; Front-End Engineer/Web Developer (Sde 1 & 2) Job Description Build, Design And Code New Features And Enhancements For Web Applications. Build Cross Browser And Cross Device Compatible Web Applications. Participate In Software Architecture, Design Discussions And Code Reviews. Thorough Understanding Of Javascript, Its Quirks, And Workarounds. Unit-Test Code For Robustness, Including Edge Cases, Usability, And General Reliability. Continuously Discover, Evaluate, And Implement New Technologies To Maximise Development Efficiency. Display End To End Ownership For Ui Features Including Estimation And Coordination With Ux, Product And Backend Team. Requirements Be/B Tech From 4 Year College Or University. 2 Years Of Strong Experience In Developing Web Applications Using At-Least One Js Framework Angularjs / Reactjs / Backbonejs. Understanding Of Mvc Frameworks. Strong In Problem Solving, Data Structures And Algorithm Design. A Passion For Writing Maintainable & Reusable Code With An Understanding Of Oop, Design Patterns. Good Understanding Of Asynchronous Request Handling, Partial Page Updates, And Ajax. Experience With Browser Apis, Cross-Browser Compatibility And Optimising Front End Performance. Familiarity With Git Version Control. Familiarity With Latest Es6 Syntax And New Developments In Javascript Community. Deep Knowledge Of Html5, Css3 And Responsive Web Design. Production Troubleshooting, Debugging Experience, Familiarity With Dev Tools (Chrome / Mozilla Dev Tools). Ability To Deliver Code Quickly From Given Scenarios In Fast Paced Startup Environment. Good Working Knowledge Of Db - Mysql Or Postgresql Is A Plus. Added Advantage - Github, Sketch, Aws.",Full-Time,Entry Level,Engineering And Information Technology,Staffing And Recruiting,3479477,Bengaluru,Karnataka,0,1857,267,,2024-01,Mid
2024-01-09,3800929078,Android Developer-Sde 1 &Amp; 2(Software Development Engineer),Box8,,80.0,"Skill: Algorithms , Rest , Github , Css , Html5 , Mobile , Problem Solving , Javascript , Android Development , Oop , Mvvm , Java , Web Technologies , Json , Data Structures; Exp: 1-3 Years; Android Developer-Sde 1 & 2(Software Development Engineer) Job Description Were Looking For Engineers To Be A Part Of Our Android Development Team. Our Close-Knit Android Team Works On High-Quality Multiple Consumer And Delivery Partner Applications. As A Member Of This Team, Youll Collaborate Closely With Product Owners, Designers And Engineers (3-In-A-Box Model) To Create Innovative Solutions For Our Customers. & Youll Play An Important Role In Product Development From Concept To Launch. We Don'T Need To Emphasise The Benefits Of Working In A Food Company, Fun And Food Is Omnipresent. Job Description Hiring For Champs Who Believe In Changing The World Through Technology Key Responsibilities Design, Build, And Maintain High Performance, Reusable, And Reliable Code Collaborate With Cross-Functional Teams To Define, Design, And Ship New Features. Write Unit-Test Code For Robustness, Including Edge Cases, Usability, And General Reliability. Debug And Resolve System Wide Issues Independently Continuously Discover, Evaluate, And Implement New Technologies To Maximize Development Efficiency. In Short, You'Re Involved From Start To Finish. Requirements Requirements 1-3 Years Of Experience In Developing Enterprise Class Mobile Apps For Android Platform. Must To Have Good Understanding Of Oop And Architectural Pattern (Mvvm Preferred) Good Knowledge Of Java Able To Write Apps Using ( Activities, Fragments, Services, And Broadcast Receivers) Good Understanding Of The Android Development Life Cycle. Basic Understanding Of Algorithms And Data Structures Good Analytical Skills And Problem Solving Skills With A Can-Do Attitude Good To Have 1-3 Years Of Experience In Developing Enterprise Class Mobile Apps For Android Platform. An Entrepreneurial Attitude That Gets Quality Projects Done Quickly. Experience Working With Remote Data Via Rest And Json Proficiency In Using Android Debug Tools And Android Studio Ide. A Github Account With Some Neat Projects In It Experience With Web Technologies (Javascript, Css, Html5)",Full-Time,Entry Level,Engineering And Information Technology,Staffing And Recruiting,3479477,Bengaluru,Karnataka,0,2227,330,,2024-01,Mid
2023-12-27,3792399495,Web Developer,Mahe Technologies Private Limited,,75.0,"The Ideal Candidate Is A Creative Problem Solver Who Will Work In Coordination With Cross-Functional Teams To Design, Develop, And Maintain Our Next Generation Websites And Web Tools. You Must Be Comfortable Working As Part Of A Team While Taking The Initiative To Take Lead On New Innovations And Projects.

Responsibilities


 * Revise, Edit, Proofread & Optimize Web Content
 * Work With Cross-Functionally To Enhance Overall User Experience Of Our Platforms
 * Own Various Design Tasks Involved In The Web Development Life Cycle From Start To Finish
   
   

Qualifications


 * Bachelor'S Degree Or Equivalent Experience In Computer Science
 * At Least 1 - 2 Years' Of Experience Using Html, Css, And Javascript
 * Proficiency In At Least One Server-Side Technology (Java, Php, Nodejs, Python, Ruby)
 * Ability To Multi-Task, Organize, And Prioritize Work",Full-Time,Executive,Engineering And Information Technology,Information Technology & Services,14387125,Greater Kolkata Area,Nan,0,860,132,,2023-12,Mid
2023-12-27,3792604197,Web Developer,Mahe Technologies Private Limited,,52.0,"The Ideal Candidate Is A Creative Problem Solver Who Will Work In Coordination With Cross-Functional Teams To Design, Develop, And Maintain Our Next Generation Websites And Web Tools. You Must Be Comfortable Working As Part Of A Team While Taking The Initiative To Take Lead On New Innovations And Projects.

Responsibilities


 * Revise, Edit, Proofread & Optimize Web Content
 * Work With Cross-Functionally To Enhance Overall User Experience Of Our Platforms
 * Own Various Design Tasks Involved In The Web Development Life Cycle From Start To Finish
   
   

Qualifications


 * Bachelor'S Degree Or Equivalent Experience In Computer Science
 * At Least 1 - 2 Years' Of Experience Using Html, Css, And Javascript
 * Proficiency In At Least One Server-Side Technology (Java, Php, Nodejs, Python, Ruby)
 * Ability To Multi-Task, Organize, And Prioritize Work",Full-Time,Executive,Engineering And Information Technology,Information Technology & Services,14387125,Greater Kolkata Area,Nan,0,860,132,,2023-12,Mid
2024-01-23,3808399427,Software Engineer,Microsoft,,26.0,"Do You Have A Passion For Security? Do You Like To Find Bugs In Software? Have You Ever Wanted To Build And Run Fuzzers That Scale To Thousands Of Cores? Why Not Become Part Of Team Dedicated To Keeping The Web Safe!

The Microsoft Edge Security Team Is Responsible For Securing Edge’S Client Code Running On Millions Of Devices Worldwide. We Work With Developers To Ensure Features Are Designed With Security In Mind, We Identify Bugs Before Hackers Do, And We Respond To Security Incidents If They Occur. We Also Work With Industry Partners To Contribute Security Improvements To The Open-Source Chromium Project To Make The Web Safer For Everyone.

Edge Security Is Divided Into Two Sister Teams: Vulnerability Research And Security Operations. We Are Hiring For Both, And Successful Applicants Will Be Placed Into The Team Which Best Fits Their Skills And Interests.

We Are Looking For Engineers With Knowledge And Experience In The Field Of Computer Security And A Passion To Learn, Underpinned By A Deep Understanding Of Computer Science. We Are Looking For Individuals With Skill Sets Applicable To Either Or Both Teams.

Vulnerability Research: Some Of The Skills That We Are Looking For Are Native App Security (Memory Corruption, Exploit Mitigations, Logic Issues, Etc.), Web Application Security (Exploitation Techniques Such As Xss, Mitigations Such As Csp, Etc.), Code Auditing, Fuzzer Development, Application Of Cryptography, And Exploit Development.

Security Operations: The Desired Skills In This Team Are Application Development In C/C++ And Python, The Ability To Build And Scale Services And Web Applications On Microsoft Azure, Fuzzer Development (For Example Using Libfuzzer Or Afl++), Research And Tooling For Code Analysis At Scale.

Most Of All We Are Looking For Individuals Who Care Deeply About Keeping Microsoft Customers Safe From Malicious Actors.

Responsibilities

Vulnerability Research Primary Requirements/Responsibilities:


 * Conduct Security Reviews To Identify And Mitigate Risk In Microsoft Edge. Activities Include Design Review, Code Reviews, Fuzzing, And Penetration Testing.
 * Respond To Security Incidents And Reports From External Researchers.
 * Use A Variety Of Tools And Techniques To Identify And Drive Fixes To Security Vulnerabilities.
 * Collaborate With Other Security Teams Across Microsoft To Design And Develop New Security Mitigations And Defences.
 * Work Closely With Our Partners In The Chromium Community To Improve Browser Security.
   
   

Security Operations Primary Requirements/Responsibilities


 * Build And Maintain Our Fuzzing Infrastructure Across Thousands Of Cores On Azure Across Three Platforms And Two Architectures.
 * Develop New Tools And Techniques To Discover New Security Bugs At Scale.
 * Write Fuzzers To Automatically Test Edge’S Code Base And Find New Issues.
   
   

Qualifications

Basic Qualifications:


 * B.S., Computer Science Or Equivalent Work Experience Or Degree
   
   

Required Experience


 * 2+ Years Of Experience In A Relevant Professional Development Or Security-Focused Role
 * Some Of Which Must Be Specialising In Security.
 * Competence In Writing At Least Two Of Java/C/C++, Javascript, And Python
   
   

The Following Additional Experiences Are Favourable, But Not Requirements


 * Public Track Record Of Relevant Security Research Along With Relevant Cves If Available, Especially Around Browser Vulnerability Discovery.
 * Development And Deployment Of Fuzz Testing Software.
 * Experience With Basic Exploit Development.
   
   

#Edgeindia #Edge #E+D #E+Dwebxt

Microsoft Is An Equal Opportunity Employer. Consistent With Applicable Law, All Qualified Applicants Will Receive Consideration For Employment Without Regard To Age, Ancestry, Citizenship, Color, Family Or Medical Care Leave, Gender Identity Or Expression, Genetic Information, Immigration Status, Marital Status, Medical Condition, National Origin, Physical Or Mental Disability, Political Affiliation, Protected Veteran Or Military Status, Race, Ethnicity, Religion, Sex (Including Pregnancy), Sexual Orientation, Or Any Other Characteristic Protected By Applicable Local Laws, Regulations And Ordinances. If You Need Assistance And/Or A Reasonable Accommodation Due To A Disability During The Application Process, Read More About Requesting Accommodations.",Full-Time,Not Applicable,Engineering And Information Technology,Software Development,1035,Hyderabad,Telangana,1,4347,618,,2024-01,Mid
2024-01-17,3803684281,Software Engineer,Microsoft,,200.0,"Microsoft Endpoint Manager (Mem) Is An Integrated Endpoint Management Solution That Helps Deliver Modern Workspace And Modern Management Capabilities To Keep Data Secure. Mem Is Part Of Microsoft Enterprise Mobility + Security Suite (Ems) And Recognized As Leader In Magic Quadrant For Unified Endpoint Solutions By Gartner. Mem Currently Manages 200M+ Devices For 300K+ Organizations Across Globe And Is Ranked As Mem Is An Integrated Solution Of Intune, Configuration Manager (Also Known As Sccm), Autopilot, Endpoint Analytics. It Provides Effective It Services


 * Saleable And Secure Deployment Of Operating Systems, Applications, And Updates
 * Compliance And Security Settings Enforcement
 * Cloud Powered Analytics And Reporting For Our Customer Persona It Admin And Itdm.
   
   

As A Software Engineer In This Org, You Will Be Working On Developing Modern Experiences For It Workers And Building World Class Backend And Analytical Services S. In This Role You Will Be Working On One Of The Following Problems


 * Modernize Our Resource Access Microservices For Scale And Simplicity.
 * Scale Intune Reporting Capabilities And Improve Visibility On Device Compliance Levels.
 * Scale Device Health Data Pipelines And Build Experimentation Platform Within Compliance Boundary.
   
   

In This Opportunity, You Will Be Working On Developing Core Backend Services That Are Critical To Our Customers’ It Management. You Will Get An Opportunity To Leverage Various Azure Technologies Such As Event Hub, Cosmosdb, Keyvault To Build Our Mission Critical Services. You Will Get Great Opportunities To Work With Our Senior Architects And Mentor Talented Engineers In Our Team To Deliver Such Services.

Responsibilities


 * Develop Low Level Design Approaches, Evaluate Pros/Cons Of Design Patterns For A Feature Enhancement.
 * Become Subject Matter Expert In The Owned Codebase And Features.
 * Active Coding And Participation In Peer Code Review, Design Reviews.
   
   

Qualifications

Skills And Requirements That Are Essential For This Role:


 * 1+ Years Of Hands-On Experience In Software Development With Proven Track Record Of Designing Solutions With Demonstrated Usage
 * Strong Problem Solving Skills And Cs Fundamental Concepts.
 * Strong Knowledge Of Object-Oriented Programming, System Programming
 * Passion For Customer Interaction And Desire To Exceed What Our Customers Demand Of Us.
   
   

Microsoft Is An Equal Opportunity Employer. Consistent With Applicable Law, All Qualified Applicants Will Receive Consideration For Employment Without Regard To Age, Ancestry, Citizenship, Color, Family Or Medical Care Leave, Gender Identity Or Expression, Genetic Information, Immigration Status, Marital Status, Medical Condition, National Origin, Physical Or Mental Disability, Political Affiliation, Protected Veteran Or Military Status, Race, Ethnicity, Religion, Sex (Including Pregnancy), Sexual Orientation, Or Any Other Characteristic Protected By Applicable Local Laws, Regulations And Ordinances. If You Need Assistance And/Or A Reasonable Accommodation Due To A Disability During The Application Process, Read More About Requesting Accommodations.",Full-Time,Not Applicable,Engineering And Information Technology,Software Development,1035,Noida,Uttar Pradesh,0,3178,447,,2024-01,Mid
,3797582265,Software Engineer - Fullstack,Linkedin,,200.0,"Linkedin Was Built To Help Professionals Achieve More In Their Careers, And Everyday Millions Of People Use Our Products To Make Connections, Discover Opportunities And Gain Insights. Our Global Reach Means We Get To Have A Direct Impact On The World’S Workforce In Ways No Other Company Can. We Are Much More Than A Digital Resume – We Transform Lives Through Innovative Products And Technology.

As A Part Of The Compute Infrastructure Org, You Will Play A Pivotal Role In Architecting, Designing, Developing, And Supporting Internet-Scale Features That Define Linkedin’S Next-Gen Compute Infrastructure. The Ideal Candidate Will Be Excited For The Challenge To Transform And Think Critically On Many Computer Science Disciplines Including Product Design, Usability, Ui And Ux, Building Apis And User-Centric Online Applications, Business Logic, Scaling Performance, And 24X7 Reliability.

At Linkedin, We Trust Each Other To Do Our Best Work Where It Works Best For Us And Our Teams. This Role Offers A Hybrid Work Option, Meaning You Can Both Work From Home And Commute To A Linkedin Office, Depending On What’S Best For You And When It Is Important For Your Team To Be Together.

Responsibilities:
- As A Full Stack Software Developer On This Team, You Will Own The Design, Development, Testing, Deployment Of Compute Infra Applications, With Focus On The Frontend As Well As Backend.
- Design And Develop Scalable, High-Performance, And Reliable Ui/Ux Functionalities For Linkedin’S Compute Infrastructure Platform
- Work With Stakeholders Across Teams To Understand Compute Management Experiences, Translate Them To Ux Requirements And Build Technical Solutions To Address Gaps
- Scale Distributed Applications, Make Architectural Trade-Offs Applying Synchronous And Asynchronous Design Patterns, Write Code, And Deliver With Speed And Quality.
- Produce High Quality Software That Is Unit Tested, Code Reviewed, And Checked In Regularly For Continuous Integration.
- Identify, Leverage, And Successfully Evangelize Opportunities To Improve Engineering Productivity.

Basic Qualifications:
- Ba/Bs Degree In Computer Science Or Related Technical Discipline Or Related Practical Experience.
- 1+ Years Of Hands-On Development Experience In Javascript Using React/Angular/Emberjs
- 1+ Years Experience Programming Experience In A Object Oriented Programming Language Like Golang, C++, Java, Python

Preferred Qualifications:
- Expertise With Full Stack Web Development Using Js Frameworks Like React, Angular Etc.
- Proven Coding Skills In Golang With Interest And Ability To Learn Other Coding Languages As Needed.
- Expert Knowledge Of Computer Science, With Strong Competencies In Data Structures, Algorithms, And Software Design.
- Experience With Object-Oriented Design, Coding, Testing Patterns To Delivery Incremental & High Quality Software
- Experience Building Web Applications And Services With Ides And General Development Practices.
- Experience Working On Development Of A Large Scale Compute Stack (Kubernetes, Containerization, Cloud Computing) Is An Added Bonus

- Suggested Skills:
• Data Structures & Algorithms
• React.Js
• Golang / Java

You Will Benefit From Our Culture:
We Strongly Believe In The Well-Being Of Our Employees And Their Families. That Is Why We Offer Generous Health And Wellness Programs And Time Away For Employees Of All Levels.


India Disability Policy
Linkedin Is An Equal Employment Opportunity Employer Offering Opportunities To All Job Seekers, Including Individuals With Disabilities. For More Information On Our Equal Opportunity Policy, Please Visit Https://Legal.Linkedin.Com/Content/Dam/Legal/Policy_India_Equalopppwd_9-12-2023.Pdf

Global Data Privacy Notice For Job Candidates
This Document Provides Transparency Around The Way In Which Linkedin Handles Personal Data Of Employees And Job Applicants: Https://Legal.Linkedin.Com/Candidate-Portal",Full-Time,Not Applicable,Engineering,"It Services And It Consulting And Technology, Information And Internet",1337,Bengaluru,Karnataka,1,3904,556,,,Mid
2024-01-27,3792934769,"Software Engineer, Systems Infrastructure",Linkedin,,200.0,"Linkedin Is The World’S Largest Professional Network, Built To Create Economic Opportunity For Every Member Of The Global Workforce. Our Products Help People Make Powerful Connections, Discover Exciting Opportunities, Build Necessary Skills, And Gain Valuable Insights Every Day. We’Re Also Committed To Providing Transformational Opportunities For Our Own Employees By Investing In Their Growth. We Aspire To Create A Culture That’S Built On Trust, Care, Inclusion, And Fun, Where Everyone Can Succeed.

Join Us To Transform The Way The World Works.

This Role Will Be Based In Bangalore, India.

At Linkedin, We Trust Each Other To Do Our Best Work Where It Works Best For Us And Our Teams. This Role Offers A Hybrid Work Option, Meaning You Can Both Work From Home And Commute To A Linkedin Office, Depending On What’S Best For You And When It Is Important For Your Team To Be Together.

As Part Of Our World-Class Software Engineering Team, You Will Be Charged With Building The Next-Generation Infrastructure And Platforms For Linkedin, Including But Not Limited To: An Application And Service Delivery Platform, Massively Scalable Data Storage And Replication Systems, Cutting-Edge Search Platform, Best-In-Class Ai Platform, Experimentation Platform, Privacy And Compliance Platform Etc. You Will Work And Learn Among The Best, Putting To Use Your Passion For Distributed Technologies And Algorithms, Api Design And Systems-Design, And Your Passion For Writing Code That Performs At An Extreme Scale. Linkedin Has Already Pioneered Well-Known Open-Source Infrastructure Projects Like Apache Kafka, Pinot, Azkaban, Samza, Venice, Datahub, Feather, Etc. We Also Work With Industry Standard Open Source Infrastructure Products Like Kubernetes, Grpc And Graphql - Come Join Our Infrastructure Teams And Share The Knowledge With A Broader Community While Making A Real Impact Within Our Company.

Responsibilities:
- You Will Design, Build And Operate One Of The Online Data Infra Platforms That Power All Of Linkedin’S Core Applications.
- You Will Participate In Design And Code Reviews To Maintain Our High Development Standards.
- You Will Partner With Peers, Leads And Partners To Define, Scope, Prioritize, And Build Impactful Features At A High Velocity.

Basic Qualifications:
- Ba/Bs Degree In Computer Science Or Related Technical Discipline, Or Related Practical Experience
- 2+ Years Of Industry Experience In Software Design, Development, And Algorithm Related Solutions
- Experience Programming In Object-Oriented Languages Such As Java, Python, Go, And/Or Functional Languages Such As Scala

Preferred Qualifications:
- Experience In Building Machine Learning Platforms At Large Scale
- Familiarity With Techniques Used In Big Data And Ai
- Good Knowledge In Distributed Data Processing Technologies
- Experience With Industry, Open-Source Projects And/Or Academic Research In Large-Data, Machine Learning Systems, Such As Spark, Tensorflow, Pytorch, Or Xgboost

Suggested Skills:
- Distributed Systems
- Backend Systems Infrastructure
- Java

You Will Benefit From Our Culture:
We Strongly Believe In The Well-Being Of Our Employees And Their Families. That Is Why We Offer Generous Health And Wellness Programs And Time Away For Employees Of All Levels.



India Disability Policy
Linkedin Is An Equal Employment Opportunity Employer Offering Opportunities To All Job Seekers, Including Individuals With Disabilities. For More Information On Our Equal Opportunity Policy, Please Visit Http://Careers.Jobvite.Com/Linkedin/India-Linkedin-Equal-Opportunity-For-Persons-With-Disabilities-Policy-2018.Pdf

Global Data Privacy Notice For Job Candidates
This Document Provides Transparency Around The Way In Which Linkedin Handles Personal Data Of Employees And Job Applicants: Https://Lnkd.In/Globaldataprivacynotice",Full-Time,Not Applicable,Engineering,"It Services And It Consulting And Technology, Information And Internet",1337,Bengaluru,Karnataka,1,3829,547,,2024-01,Mid
2024-01-25,3798291122,Software Engineer - Front-End Developer,Nissan Motor Corporation,,200.0,"Nissan Is A Pioneer In Innovation And Technology. With A Focus On Mobility, Operational Excellence, Value To Our Customers And Electrification Of Vehicles, You Can Expect To Be Part Of A Very Exciting Journey Here At Nissan.

Nissan Is Going After A Massive Digital Transformation Backed By Leading Technologies Across The Organization Globally. We Are Committed To Building A Diverse, Entrepreneurial Organization, And Our Current Team Is Strong Evidence Of That. Our People Are What Drive The Business Forward. At Nissan Digital, You Will Be Part Of A Dynamic Team With Ample Opportunities To Grow And Make A Difference

Software Engineer - Front-End Developer

Job Summary

We Are Seeking A Talented And Experienced Frontend Developer To Join Our Team. As A Frontend Developer, You Will Be Responsible For Designing, Developing, And Implementing User Interfaces For Our Web Applications. You Will Collaborate Closely With The Design And Backend Development Teams To Ensure Seamless Integration And Deliver High-Quality User Experiences.


 * Develop User-Friendly And Responsive Web Interfaces Using Html, Css, And Javascript, Adhering To Best Practices And Industry Standards.
 * Collaborate With The Design Team To Translate Wireframes And Visual Designs Into Functional Web Pages, Ensuring A Seamless User Experience.
 * Implement And Maintain Front-End Frameworks And Libraries, Such As React, Angular, Or Vue.Js, To Enhance Website Performance And Interactivity.
 * Optimize Web Applications For Maximum Speed And Scalability, Ensuring Cross-Browser And Cross-Platform Compatibility.
 * Conduct Thorough Testing And Debugging Of Web Applications, Identifying And Resolving Any Performance Or Usability Issues.
 * Collaborate With The Backend Development Team To Integrate Frontend Interfaces With Server-Side Functionalities, Ensuring Efficient Data Exchange And Smooth Functionality.
 * Stay Updated With The Latest Industry Trends, Technologies, And Best Practices Related To Frontend Development, And Proactively Suggest Improvements To Enhance The Development Process And User Experience.
 * Work Closely With The Project Management Team To Estimate Timelines, Prioritize Tasks, And Deliver Projects On Schedule.
 * Collaborate With Cross-Functional Teams, Including Designers, Developers, And Stakeholders, To Gather Requirements And Ensure Effective Communication Throughout The Development Lifecycle.
 * Conduct Code Reviews To Maintain Code Quality, Identify Areas For Improvement, And Ensure Adherence To Coding Standards And Best Practices.
   
   

Experience & Expertise


 * Bachelor'S Degree In Computer Science, Software Engineering, Or A Related Field (Or Equivalent Experience).
 * Proven Experience As A Frontend Developer Or Similar Role, With A Strong Portfolio Showcasing Previous Web Development Projects.
 * Proficient Understanding Of Web Markup Languages, Including Html5 And Css3.
 * Strong Knowledge Of Javascript And Modern Frontend Frameworks (E.G., React, Angular, Vue.Js) And Their Associated Ecosystems.
 * Experience With Version Control Systems (E.G., Git) And Modern Development Workflows.
 * Familiarity With Responsive Design Principles And Mobile-First Development.
 * Solid Understanding Of Cross-Browser Compatibility And Accessibility Standards.
 * Experience With Ui/Ux Design Principles And The Ability To Work Closely With Designers To Implement Pixel-Perfect Interfaces.
 * Strong Problem-Solving Skills And Attention To Detail.
 * Excellent Communication And Collaboration Skills, With The Ability To Work Effectively In A Team Environment.
 * At Least 3 Years Experience In Front End Development
 * Strong Communicator - Verbal, Written And Presentation Skills To The Business As Well As To The Technical Team
 * Stellar Business Knowledge And Solution Thinking - Own What You Build.
 * A High Bar Across The Board - From Your Own Contributions To The People You Work With To The Solutions You Own.
 * Finger-Tippiness With Data - You Just Go Get The Data You Need With No Fuss And Can Whip It Into Valuable Insights With No Help. You Know How To Use Data To Make Decisions Without Getting Stuck In Analysis Paralysis.
 * User-Centricity - Examples From Your Past Of Tough Business Challenges That You Powered Through Because You Were Unwilling To Make Your Problems Your Users' Problems.
   
   

Drive Your Career Forward And Join The Company Leading The Technology And Business Evolution In The Automotive Industry.

Trivandrum Kerala India",Full-Time,Entry Level,Engineering And Information Technology,Motor Vehicle Manufacturing,221027,Trivandrum,Kerala,1,4498,647,,2024-01,Mid
2024-01-04,3794019186,Sde 1 (Frontend),Furrl,,200.0,"We Are Looking For A Great Javascript Developer Who Is Proficient With React.Js . Your Primary Focus Will Be On Developing User Interface Components And Implementing Them Following Well-Known React.Js Workflows (Such As Flux Or Redux). You Will Ensure That These Components And The Overall Application Are Robust And Easy To Maintain. You Will Coordinate With The Rest Of The Team Working On Different Layers Of The Infrastructure. Therefore, A Commitment To Collaborative Problem-Solving, Sophisticated Design, And Quality Products Is Important.

Responsibilities


 * Developing New User-Facing Features Using React.Js .
 * Building Reusable Components And Front-End Libraries For Future Use.
 * Translating Designs And Wireframes Into High-Quality Code.
 * Optimizing Components For Maximum Performance Across A Vast Array Of Web-Capable Devices And Browsers.
   
   

Requirements


 * Strong Proficiency In Javascript, Including Dom Manipulation And The Javascript Object Model.
 * Thorough Understanding Of React.Js And Its Core Principles.
 * Experience With Popular React.Js Workflows (Such As Flux Or Redux).
 * Familiarity With Newer Specifications Of Ecmascript.
 * Experience With Data Structure Libraries (E. G., Immutable.Js ).
 * Knowledge Of Isomorphic React Is A Plus.
 * Familiarity With Restful Apis.
 * Knowledge Of Modern Authorization Mechanisms, Such As Json Web Token.
 * Familiarity With Modern Front-End Build Pipelines And Tools.
 * Experience With Common Front-End Development Tools Such As Babel, Webpack, Npm, Etc.
 * Ability To Understand Business Requirements And Translate Them Into Technical Requirements.
 * A Knack For Benchmarking And Optimization.
 * Familiarity With Code Versioning Tools {{Such As Git, Svn, And Mercurial}}.
   
   

This Job Was Posted By Abhijeet Singh From Furrl.",Full-Time,Entry Level,Information Technology And Engineering,"It Services And It Consulting, Software Development, And Technology, Information And Internet",82774077,Bengaluru,Karnataka,0,1823,260,,2024-01,Mid
